link;x;y;drtVehicles
-8022425#3;799514.56;5830449.13;1
42103020#0;797617.19;5828332.555;1
-4612695#1;798985.1950000001;5825963.795;1
-335396339#0;795671.5;5825729.97;4
4556843#0;792576.395;5827430.715;1
4556843#1;792484.815;5827421.9399999995;1
-338412126;796732.395;5823976.8149999995;1
-981295181;798807.255;5829303.29;2
4556843#3;792550.785;5827371.475;2
-193959709;794699.895;5828927.215;1
-338412122;796922.85;5823986.83;1
-1083346203;801937.065;5827540.355;2
-30829977#0;800913.5;5825054.38;4
-36987811;802803.46;5826000.89;1
-1083346207;801757.375;5827714.895;1
-785563391#1;800127.615;5828963.2;1
-1083346206;802003.8;5827643.140000001;1
-4679302#2;800675.51;5823789.6;1
-1120360094;801794.42;5824789.74;2
-777345629;801374.29;5823032.585;5
-5785862#2;795192.87;5825540.83;2
146757631#3;799171.45;5830147.745;2
365734762#0;798179.54;5829802.23;2
-1101063188#1;793550.0800000001;5828991.21;3
146757631#0;799192.605;5829921.4350000005;4
-4592177;794197.25;5829242.66;2
-154381294;801243.025;5827142.91;3
-448715094;800151.21;5826955.085;7
-25639769;791255.74;5825772.470000001;1
-45317032#1;798214.2050000001;5824664.09;1
-36738532;802038.5;5824680.385;2
-990194457;800722.485;5824637.475;2
-188866876;801452.26;5826198.675000001;4
-4597379#2;794798.4450000001;5825866.59;3
153698394#0;797837.535;5827776.305;1
-153150698;795390.48;5824464.635;2
-154381227;802947.28;5826582.755;1
233833576#0;798621.375;5826974.375;1
-4789056#0;801885.905;5828589.18;1
-1083535999;802073.65;5828291.805;2
-1054748135;800996.09;5827238.4399999995;2
-268002745;797874.4;5828617.615;2
4436919#0;791976.51;5826015.09;1
-551950267;794877.05;5826389.300000001;13
-181407580#2;798941.19;5823900.325;43
-1094774004;799277.5249999999;5830059.865;2
48638393#5;793964.67;5824822.6850000005;2
-860638044#2;800785.425;5822699.585;1
1057545069#3;798274.1;5825740.785;3
-161753875#0;799822.325;5830476.6899999995;3
1096948321#0;801020.4299999999;5825900.15;2
-161753875#1;799736.53;5830501.904999999;1
973573910;800360.395;5827824.404999999;1
48638393#0;793974.085;5824582.395;3
11405458;795472.16;5825613.0;1
156492981#0;799144.965;5830397.405;1
-981299588;800431.855;5826903.045;1
-188865521;800892.2849999999;5826109.715;2
154483993#2;796213.675;5824920.785;6
-188865526;800888.125;5825903.66;1
-4618822#1;795818.95;5825549.87;2
153370345;794814.4750000001;5826248.98;10
-1110773554;798222.57;5829688.355;4
-176031303#2;800330.2250000001;5826775.535;5
-1121478209;796294.87;5828253.99;2
-1089751371;797261.355;5825291.05;4
-172844044;794884.21;5824728.6850000005;1
4402682#3;793595.075;5825758.32;1
-90288640#0;801678.0449999999;5824004.16;1
57683665#0;790598.78;5825992.609999999;1
1105526087;799307.565;5828906.345;1
