Stop ID,Link ID,X,Y
156186,156186,4591593.109438818,5818188.431797762
158576,158576,4593824.434944298,5817344.335762694
2004,2004,4594460.333869509,5819109.704807939
57063,57063,4596104.0406294735,5820878.037652542
147124,147124,4597297.51663629,5819830.115345354
36408,36408,4598098.76928304,5822319.525485016
33934,33934,4590770.871669116,5821673.492635344
75788,75788,4592975.533719726,5821925.039267654
pt_39884,pt_39884,4598077.323122839,5821393.316627442
21517,21517,4594511.701035704,5818193.511017435
112053,112053,4595128.416968512,5819974.305190635
11359,11359,4594503.944508264,5823474.537360332
122484,122484,4598833.097941675,5818337.372471669
24701,24701,4598469.957351821,5817072.863831333
92392,92392,4589178.680847912,5818669.434070098
45760,45760,4597926.322212849,5819135.114744504
158398,158398,4598665.244276667,5822328.703335531
pt_4791,pt_4791,4594051.241382342,5820721.259961073
147049,147049,4597318.685963238,5819658.413334296
93628,93628,4596180.750568742,5821181.140355503
103058,103058,4591137.775470452,5822376.05447044
51647,51647,4591501.281222104,5819839.364235959
95583,95583,4599374.819617463,5821012.436212152
121515,121515,4599409.667697498,5821212.294285304
61254,61254,4594152.915463042,5817239.482066797
5498,5498,4592387.2505427515,5821711.768292776
59533,59533,4599201.491957993,5820435.416182499
124046,124046,4589304.435345915,5819842.688412341
5120,5120,4594389.332112318,5817621.862389677
5402,5402,4593515.685211501,5821588.17199339
57762,57762,4592605.27867969,5819401.96804433
149314,149314,4594430.062776802,5822058.6437397
51088,51088,4594702.3796225665,5818566.936347564
150372,150372,4596795.068461775,5817250.00244785
95581,95581,4599819.584581442,5820326.135615704
50813,50813,4588298.934288092,5822533.513709846
140395,140395,4589278.042009756,5819580.258938912
7977,7977,4596297.35299616,5822044.759415182
pt_4764,pt_4764,4594051.241382342,5820721.259961073
145413,145413,4593029.718294172,5817870.283659707
18857,18857,4596547.755819214,5822366.902167611
145582,145582,4594267.662282464,5819552.741601572
63851,63851,4599511.857913921,5821180.182754067
pt_38774,pt_38774,4595287.281734933,5820150.276654738
66125,66125,4597503.478330581,5817825.511346739
139162,139162,4598195.24051946,5817618.090504887
80390,80390,4595482.792395745,5822739.848057977
47126,47126,4597033.070757674,5818071.783220854
28482,28482,4597228.752085109,5820762.115573642
118496,118496,4599071.955971253,5820550.333650446
114069,114069,4594066.032116754,5823895.479725783
134171,134171,4597503.478330581,5817825.511346739
156215,156215,4591959.007372542,5818123.446727449
147119,147119,4597467.895151038,5818654.279153598
31357,31357,4595721.564331362,5822459.4817216555
55680,55680,4592200.694433414,5821620.811806587
79885,79885,4589029.772962002,5818117.500762176
17180,17180,4597140.599256459,5815874.138963074
63844,63844,4599409.667697498,5821212.294285304
101683,101683,4590242.278791372,5819688.438683347
103688,103688,4593757.748266693,5821848.4855435835
11055,11055,4593262.563858025,5824118.354734823
135945,135945,4592334.171640203,5819521.03407626
113991,113991,4597101.669010977,5817399.437485748
99257,99257,4590517.91499285,5818180.8282828545
88845,88845,4596495.144323921,5822293.568911706
233,233,4599102.0331388675,5822084.855412903
138601,138601,4594338.530539912,5821708.156800994
