link;x;y;drtVehicles
-4588075#1;798475.31;5824371.225;1
-4588075#2;798480.165;5824462.98;3
312651884#5;798638.625;5829063.335;1
131336286;800656.085;5822538.965;5
146008695#0;797862.9099999999;5825568.88;1
-4603414#2;798363.46;5830340.41;4
-4540297#1;793315.245;5828703.029999999;4
-975447074;801029.675;5826349.5;1
-856043392;800338.65;5825645.805;2
-4492011#2;793800.6599999999;5825174.4399999995;1
-22701544;799691.3999999999;5825377.765;1
-1056617371;792335.97;5826256.6899999995;1
940056668#3;799896.175;5829891.36;1
-100832885#2;801187.645;5825629.18;1
-100832885#1;801107.4750000001;5825665.655;2
-100832885#5;801596.3300000001;5825440.615;1
940056668#0;799836.94;5829688.905;1
901165869;794370.735;5827535.17;1
-1108013693;800528.79;5828194.74;1
840300461;798323.5449999999;5825438.95;1
-517871368#2;797177.275;5829172.79;1
-856142942#2;800646.3899999999;5825295.025;1
-100832885#0;800928.0549999999;5825753.695;1
333526814#0;800476.2949999999;5828427.895;1
-4397269#0;795139.105;5828601.8100000005;1
-184941003#1;800483.635;5830208.6;2
-184941003#0;800444.025;5830219.58;1
116432821;797206.195;5823631.915;1
-4611714#2;798539.095;5827092.555;1
-186359816#0;797396.255;5823193.5600000005;2
532727925#0;796702.68;5827428.55;2
490351862#0;793360.3400000001;5825671.16;1
-155605308;801583.655;5823275.785;1
-270731299;800952.695;5827613.505;1
-155605312#0;802045.635;5824828.390000001;1
-4612871;799307.8200000001;5826887.885;3
-155605312#1;801917.755;5824943.725;1
-25036025#5;797516.31;5824856.35;1
-848132796;802096.675;5824249.285;2
-4612875;800038.235;5827089.785;2
-4612876;799626.18;5826690.49;2
-1051639965;803043.27;5827397.365;1
-4611869#4;796903.755;5826039.15;1
-4381554#1;793815.3899999999;5826708.359999999;2
-378331294;796581.8600000001;5830352.6899999995;2
-1051639963;803201.1;5827528.3100000005;3
-1057635874#0;800869.275;5828061.85;6
-1000835689;801224.725;5822751.6;1
-145933306#9;792328.5249999999;5825550.71;2
-4490375#2;791588.5349999999;5826229.005000001;1
-53257010;797525.83;5829138.195;2
-374734384#0;797396.745;5828917.895;1
-963165523;797456.365;5829514.93;5
153151592#0;795411.835;5825851.665;1
-1124597627;795240.1499999999;5826203.27;1
-714512465;796263.4099999999;5823356.625;4
287764737#0;799988.0249999999;5828104.8100000005;1
-1100787596;792837.075;5825440.17;1
-110450332;796007.855;5824756.075;6
-23752644#2;797593.3049999999;5824572.529999999;3
-4782581;800380.04;5826456.66;1
-4083461;794630.395;5828021.865;3
-764003855;800942.89;5823956.515000001;1
150928841#0;794025.145;5825486.23;1
-1092669588;792409.33;5824744.345;1
-240959635#2;796350.435;5823292.359999999;1
-1100787594;792210.865;5825226.645;1
-26299675#0;800657.81;5829495.119999999;2
-38912785#1;797195.1699999999;5827508.779999999;1
23852053;798416.85;5828313.58;2
-1106648813;795127.9099999999;5829387.75;1
108488061#1;798597.175;5826894.1899999995;1
-1083532798#2;801675.925;5828222.625;4
-1076055688#1;799898.76;5827871.89;1
-1076055688#0;799943.755;5827976.55;2
-1105574288;798247.8400000001;5826726.595;2
816324772#2;800184.015;5824407.3100000005;2
-1124991843#1;798933.78;5826106.67;2
-1028143971#0;797498.4199999999;5830166.984999999;2
-722137842;796155.505;5829884.135;6
27149060;793382.285;5823830.199999999;1
-803210484;797827.0800000001;5829359.82;1
-10098785#2;793626.8200000001;5824478.48;1
-612748462#1;800292.8;5822926.43;2
13707384;795869.4450000001;5823862.42;1
-180541162;798140.3200000001;5830349.65;1
-10098785#8;793908.3200000001;5824453.165;1
70665909;803104.6200000001;5828008.4399999995;1
1126170612#0;797454.6200000001;5825587.4350000005;1
-1052758514#0;798937.41;5829128.109999999;2
-155605327;800157.135;5823189.36;2
-4471283#2;792011.865;5827334.0600000005;1
-182052618#2;802580.0900000001;5826038.355;4
-155605334;801023.195;5823575.73;1
-63124377#2;798978.0700000001;5826387.15;1
-172425895#2;800103.62;5825694.8;2
-155605333;802686.525;5826125.52;2
-120948266;800026.065;5829222.66;2
-874528353#2;797659.6000000001;5827433.109999999;3
-4540279;792810.21;5828358.715;1
-30137421#2;792127.66;5825988.26;1
-39839079;801137.515;5825081.515000001;3
-161754093#4;799420.7350000001;5830680.245;2
23809678#0;798772.005;5828534.925000001;3
-120948267;800334.81;5829781.1;3
-27168531;797859.7649999999;5823859.8149999995;1
-161754093#0;799643.6000000001;5830547.335;2
-795574342;801266.7949999999;5822825.01;1
-156132842;796598.405;5826096.609999999;4
-1101907785;802823.105;5826597.87;2
997185166#3;795283.425;5825560.98;1
-4471968;792587.675;5828507.235;6
188044903#0;799561.55;5828233.805;1
23507539#2;797423.345;5823701.18;2
23507539#1;797373.345;5823621.43;1
428661761;791768.54;5827487.16;1
344668624;798647.21;5825071.825;1
4618781#0;796113.27;5825568.41;1
23507539#7;797586.62;5823870.005;1
-851552629;798944.215;5824803.0649999995;5
-75066614;800574.355;5825568.32;1
490337223#0;791871.98;5825209.715;1
-106368290;792940.27;5823461.895;2
-1111982484;797875.6499999999;5827537.245;2
-32879634#8;794625.03;5823914.205;1
-32139375#1;800876.845;5823134.84;1
-1110415991;796479.8600000001;5825648.985;2
-1056615867#1;791661.675;5826322.95;1
